"cluster_em","no","yes"
"1","75.46%","24.54%"
"2","68.83%","31.17%"
"3","92.96%","7.04%"
"4","93.27%","6.73%"
"5","97.75%","2.25%"
"6","86.98%","13.02%"
"7","99.19%","0.81%"
"8","67.31%","32.69%"
"9","79.73%","20.27%"
