"k","mean_test_wss","sd_test_wss"
2,19397.2248584255,4389.20082534081
3,16853.1744105831,4361.40688398745
4,14447.915662655,4385.1918939172
5,12330.0505654357,4349.77712120157
6,10654.5644260904,4071.70698931445
7,9945.94946677696,4137.71855002195
8,9271.79858307925,4169.87422279402
9,8860.31390647016,4074.16242796607
10,8456.37382373636,4011.09562140832
