"cluster_em","no","yes"
"1","87.88%","12.12%"
"2","86.46%","13.54%"
"3","81.99%","18.01%"
"4","90.81%","9.19%"
"5","82.52%","17.48%"
"6","88.29%","11.71%"
"7","82.29%","17.71%"
"8","86.97%","13.03%"
"9","83.76%","16.24%"
