"cluster_em","n","percent"
"1",3276,0.0724602419765101
"2",5149,0.113888213045498
"3",19951,0.441286412598704
"4",2971,0.0657140961270487
"5",7672,0.169693216252682
"6",922,0.0203932671252571
"7",1242,0.0274711906394462
"8",1251,0.0276702572382827
"9",2777,0.0614231049965716
