"k","total_withinss"
1,226050.000000099
2,193898.236850416
3,168419.992542426
4,144418.494437581
5,123115.206740979
6,106216.258514949
7,98560.8551912533
8,91747.0538160874
9,86191.5393666779
10,77053.8548555674
