"predyktor","waznosc","hipoteza"
"duration",1365.00829690864,"H1"
"poutcome",853.59552879508,"H1"
"campaign",1.42908576910545,"H1"
"job",1586.50938272953,"H2"
"age",198.917590645508,"H2"
"job",470.808941327333,"H3"
"age",296.574318558568,"H3"
"education",178.964036743284,"H3"
