"cluster_kmeans","y_yes","housing_yes","loan_yes"
"1",0.0256410256410256,0.517704517704518,0.175824175824176
"2",0.25,0.625,0.145
"3",0.0874921695552307,0.449711143592956,0.168719983295051
"4",0.461005643919959,0.592611595690097,0.154181631605952
"5",0.0771814971143079,0.620380739081747,0.16060814885003
"6",0.138532110091743,0.442201834862385,0.0522935779816514
